DEFECT,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM,LOC
yes,16,1,0,2,17,120,1,15,97
yes,16,1,0,2,17,120,1,7,81
yes,1,1,0,0,2,0,0,1,11
yes,3,1,0,4,4,3,3,3,30
yes,15,1,0,4,16,105,1,10,101
yes,4,0,0,1,5,6,0,4,25
yes,3,2,0,5,4,3,5,2,56
yes,5,1,0,0,6,10,0,2,31
yes,6,1,0,1,7,15,1,3,37
yes,6,1,0,1,7,15,1,3,37
yes,14,1,0,1,15,91,1,14,87
yes,44,1,0,7,45,946,1,29,291
yes,4,1,0,6,5,6,4,1,25
yes,4,1,0,3,5,6,2,3,34
yes,20,1,0,11,21,190,0,5,146
yes,11,1,0,1,12,55,0,7,68
yes,16,1,0,5,17,120,2,10,114
yes,9,1,0,0,10,36,0,8,64
yes,14,1,0,2,15,91,1,14,85
yes,36,0,0,1,37,630,0,36,236
yes,18,1,0,1,19,153,0,11,116
yes,29,1,0,10,30,406,5,29,88
yes,100,1,1,3,101,4950,1,98,654
yes,42,1,0,3,43,861,2,19,280
yes,17,1,0,3,18,136,3,15,108
yes,2,1,0,0,3,1,0,2,18
yes,22,1,0,8,23,231,1,1,147
yes,6,1,0,0,7,15,0,3,32
yes,15,1,0,1,16,105,0,5,123
yes,13,1,0,1,14,78,0,4,84
yes,41,1,0,9,42,820,5,37,237
yes,41,1,0,4,42,820,0,19,303
yes,13,1,0,3,14,78,1,9,92
yes,34,0,0,3,35,561,1,30,214
yes,38,1,0,2,39,703,0,37,241
yes,17,1,0,0,18,136,0,13,111
yes,15,1,0,3,16,105,3,6,92
yes,7,1,0,3,8,21,0,7,52
yes,16,1,0,0,17,120,0,11,97
yes,143,1,0,16,144,10153,8,129,909
yes,13,0,0,2,14,78,0,5,83
yes,38,1,0,2,39,703,0,37,241
yes,11,1,0,7,12,55,0,0,66
yes,6,1,0,2,7,15,1,6,37
yes,17,1,0,4,18,136,2,6,143
yes,4,1,0,4,5,6,1,4,31
yes,11,1,0,1,12,55,0,10,67
yes,10,1,0,5,11,45,3,5,58
yes,2,0,0,1,3,1,0,2,12
yes,15,1,0,1,16,105,1,7,115
yes,15,1,0,3,16,105,0,2,95
yes,119,1,0,0,120,7021,0,118,714
yes,9,1,0,0,10,36,0,4,41
